1/1/2008,7.976878613,93400
2/1/2008,8.986175115,94600
3/1/2008,9.436133487,95100
4/1/2008,10.28571429,96500
5/1/2008,9.491525424,96900
6/1/2008,9.602649007,99300
7/1/2008,9.051254089,100000
8/1/2008,8.775731311,100400
9/1/2008,8.615049073,99600
10/1/2008,8.855291577,100800
11/1/2008,8.467309753,101200
12/1/2008,8.067940552,101800
1/1/2009,7.3875803,100300
2/1/2009,5.708245243,100000
3/1/2009,4.626708728,99500
4/1/2009,2.279792746,98700
5/1/2009,1.135190918,98000
6/1/2009,-0.604229607,98700
7/1/2009,-0.2,99800
8/1/2009,-1.195219124,99200
9/1/2009,-1.506024096,98100
10/1/2009,-2.876984127,97900
11/1/2009,-3.162055336,98000
12/1/2009,-3.241650295,98500
1/1/2010,-1.595214357,98700
2/1/2010,-1.3,98700
3/1/2010,-0.40201005,99100
4/1/2010,0,98700
5/1/2010,1.224489796,99200
6/1/2010,1.925025329,100600
7/1/2010,1.603206413,101400
8/1/2010,2.419354839,101600
9/1/2010,3.058103976,101100
10/1/2010,3.881511747,101700
11/1/2010,4.183673469,102100
12/1/2010,4.467005076,102900
1/1/2011,4.356636272,103000
2/1/2011,4.457953394,103100
3/1/2011,4.439959637,103500
4/1/2011,5.977710233,104600
5/1/2011,5.040322581,104200
6/1/2011,6.461232604,107100
7/1/2011,6.903353057,108400
8/1/2011,7.775590551,109500
9/1/2011,7.220573689,108400
10/1/2011,8.456243854,110300
11/1/2011,8.912830558,111200
12/1/2011,9.426627794,112600
1/1/2012,9.611650485,112900
2/1/2012,10.28128031,113700
3/1/2012,10.62801932,114500
4/1/2012,9.751434034,114800
5/1/2012,9.788867562,114400
6/1/2012,8.776844071,116500
7/1/2012,8.671586716,117800
8/1/2012,7.853881279,118100
9/1/2012,7.933579336,117000
10/1/2012,6.346328196,117300
11/1/2012,6.474820144,118400
12/1/2012,5.95026643,119300
1/1/2013,5.225863596,118800
2/1/2013,5.277044855,119700
3/1/2013,4.716157205,119900
4/1/2013,4.965156794,120500
5/1/2013,5.769230769,121000
6/1/2013,5.407725322,122800
7/1/2013,5.687606112,124500
8/1/2013,5.249788315,124300
9/1/2013,4.957264957,122800
10/1/2013,5.285592498,123500
11/1/2013,4.222972973,123400
12/1/2013,3.85582565,123900
1/1/2014,3.872053872,123400
2/1/2014,3.091060986,123400
3/1/2014,2.668890742,123100
4/1/2014,2.738589212,123800
5/1/2014,2.809917355,124400
6/1/2014,2.361563518,125700
7/1/2014,2.088353414,127100
8/1/2014,1.93081255,126700
9/1/2014,1.465798046,124600
10/1/2014,1.457489879,125300
11/1/2014,1.296596434,125000
12/1/2014,0.807102502,124900
1/1/2015,0.243111831,123700
2/1/2015,-1.782820097,121200
3/1/2015,-2.924451665,119500
4/1/2015,-3.554119548,119400
5/1/2015,-4.501607717,118800
6/1/2015,-4.852824185,119600
7/1/2015,-6.687647522,118600
8/1/2015,-7.024467245,117800
9/1/2015,-7.704654896,115000
10/1/2015,-8.778930567,114300
11/1/2015,-10,112500
12/1/2015,-10.32826261,112000
1/1/2016,-13.5004042,107000
2/1/2016,-12.95379538,105500
3/1/2016,-12.80334728,104200
4/1/2016,-15.07537688,101400
5/1/2016,-16.16161616,99600
6/1/2016,-17.05685619,99200
7/1/2016,-17.28499157,98100
8/1/2016,-18.08149406,96500
9/1/2016,-18.26086957,94000
10/1/2016,-17.49781277,94300
11/1/2016,-17.86666667,92400
12/1/2016,-17.58928571,92300
1/1/2017,-14.29906542,91700
2/1/2017,-13.83886256,90900
3/1/2017,-13.53166987,90100
4/1/2017,-11.43984221,89800
5/1/2017,-9.939759036,89700
6/1/2017,-8.568548387,90700
7/1/2017,-7.951070336,90300
8/1/2017,-6.528497409,90200
9/1/2017,-5.531914894,88800
10/1/2017,-4.87804878,89700
11/1/2017,-3.03030303,89600
12/1/2017,-2.491874323,90000
1/1/2018,-3.162486369,88800
2/1/2018,-2.200220022,88900
3/1/2018,-1.220865705,89000
4/1/2018,-1.44766147,88500
5/1/2018,-1.003344482,88800
6/1/2018,-0.882028666,89900
7/1/2018,-0.221483942,90100
8/1/2018,0.110864745,90300
9/1/2018,0.563063063,89300
10/1/2018,-0.22296544,89500
11/1/2018,0.223214286,89800
12/1/2018,0,90000
1/1/2019,0.563063063,89300
2/1/2019,0.674915636,89500
3/1/2019,0.449438202,89400
4/1/2019,1.129943503,89500
5/1/2019,0.675675676,89400
6/1/2019,0,89900
7/1/2019,0.110987791,90200
8/1/2019,-0.332225914,90000
9/1/2019,-0.559910414,88800
10/1/2019,-1.56424581,88100
11/1/2019,-2.561247216,87500
12/1/2019,-3.333333333,87000
1/1/2020,-3.13549832,86500
2/1/2020,-3.463687151,86400
3/1/2020,-4.138702461,85700
4/1/2020,-7.039106145,83200
5/1/2020,-9.507829978,80900
6/1/2020,-11.12347052,79900
7/1/2020,-12.19512195,79200
8/1/2020,-12.88888889,78400
9/1/2020,-12.83783784,77400
10/1/2020,-12.71282633,76900
11/1/2020,-13.37142857,75800
12/1/2020,-13.2183908,75500
1/1/2021,-13.98843931,74400
2/1/2021,-15.39351852,73100
3/1/2021,-16.33605601,71700
4/1/2021,-13.70192308,71800
5/1/2021,-11.37206428,71700
6/1/2021,-10.51314143,71500
7/1/2021,-9.090909091,72000
8/1/2021,-8.545918367,71700
9/1/2021,-7.881136951,71300
10/1/2021,-7.022106632,71500
11/1/2021,-5.672823219,71500
12/1/2021,-5.033112583,71700
1/1/2022,-4.435483871,71100
2/1/2022,-2.325581395,71400
3/1/2022,-0.418410042,71400
4/1/2022,-1.114206128,71000
5/1/2022,-1.115760112,70900
6/1/2022,-0.559440559,71100
7/1/2022,-0.138888889,71900
8/1/2022,0.557880056,72100
9/1/2022,0.561009818,71700
10/1/2022,0.839160839,72100
11/1/2022,0.839160839,72100
12/1/2022,1.255230126,72600
1/1/2023,2.109704641,72600
2/1/2023,0.980392157,72100
